Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-05-08,2026-02-27,2025-11-06,2025-08-08,2025-05-08,2025-02-27,2024-11-07,2024-08-08,2024-05-09,2024-02-28,2023-11-08,2023-08-08,2023-05-09,2023-02-28,2022-11-09,2022-08-05,2022-05-10
Revenue & Margin,Segment-1,-,Distribution Service,-,-,-,Distribution Service,-,-,-,Broadcast,-,-,-,Broadcast,-,-,-
Revenue & Margin,Segment-1 %,-,59.1%,-,-,-,54.2%,-,-,-,98.1%,-,-,-,96.6%,-,-,-
Revenue & Margin,Segment-2,-,Advertising,-,-,-,Advertising,-,-,-,Corporate and Other,-,-,-,Other Segments,-,-,-
Revenue & Margin,Segment-2 %,-,39.6%,-,-,-,44.7%,-,-,-,1.9%,-,-,-,3.3%,-,-,-
Revenue & Margin,Segment-3,-,Other,-,-,-,Other,-,-,-,-,-,-,-,Corporate Segment,-,-,-
Revenue & Margin,Segment-3 %,-,1.3%,-,-,-,1.2%,-,-,-,-,-,-,-,0.1%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
